age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,median_income,State,county_fips,county
43,Private,155106,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,41238,114158,Alabama,1121,Talladega County
50,Self-emp-inc,121441,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,29734,114158,Alabama,1123,Tallapoosa County
44,Private,162028,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,32535,114158,Alabama,1125,Tuscaloosa County
51,Self-emp-not-inc,160724,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,129584,114158,Alabama,1127,Walker County
41,Private,132222,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States,196584,114158,Alabama,1129,Washington County
60,Self-emp-inc,226355,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,70,?,76415,114158,Alabama,1131,Wilcox County
37,Private,329980,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,63253,114158,Alabama,1133,Winston County
55,Self-emp-inc,124137,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece,128673,114158,Arizona,4001,Apache County
39,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United-States,170089,114158,Arizona,4003,Cochise County
42,Self-emp-inc,187702,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,187720,114158,Arizona,4005,Coconino County
49,Private,199029,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,62468,114158,Arizona,4007,Gila County
47,Self-emp-not-inc,145290,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,57405,114158,Arizona,4009,Graham County
41,Local-gov,297248,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,105615,114158,Arizona,4011,Greenlee County
55,Self-emp-inc,227856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,92667,114158,Arizona,4012,La Paz County
39,Private,179731,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,82048,114158,Arizona,4013,Maricopa County
42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,56735,114158,Arizona,4015,Mohave County
41,?,27187,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,2415,12,United-States,105086,114158,Arizona,4017,Navajo County
46,Private,326857,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,156504,114158,Arizona,4019,Pima County
40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,125440,114158,Arizona,4021,Pinal County
32,Private,396745,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States,51412,114158,Arizona,4023,Santa Cruz County
41,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,151572,114158,Arizona,4025,Yavapai County
60,Self-emp-inc,336188,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,110599,114158,Arizona,4027,Yuma County
31,Private,279015,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan,125819,114158,Arkansas,5001,Arkansas County
58,Self-emp-not-inc,43221,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,United-States,76525,114158,Arkansas,5003,Ashley County
37,Self-emp-inc,30529,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,35391,114158,Arkansas,5005,Baxter County
44,Self-emp-not-inc,201742,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,143480,114158,Arkansas,5007,Benton County
39,Self-emp-not-inc,218490,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,?,105116,114158,Arkansas,5009,Boone County
43,Federal-gov,156996,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,?,132666,114158,Arkansas,5011,Bradley County
55,Self-emp-inc,298449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,181234,114158,Arkansas,5013,Calhoun County
44,Self-emp-inc,191712,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,168276,114158,Arkansas,5015,Carroll County
39,Private,198654,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,151538,114158,Arkansas,5017,Chicot County
46,Self-emp-not-inc,102308,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States,110908,114158,Arkansas,5019,Clark County
39,Private,348521,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,United-States,176446,114158,Arkansas,5021,Clay County
62,Self-emp-inc,56248,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,United-States,162561,114158,Arkansas,5023,Cleburne County
31,Self-emp-not-inc,252752,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States,107536,114158,Arkansas,5025,Cleveland County
46,Private,192963,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines,110169,114158,Arkansas,5027,Columbia County
46,Self-emp-not-inc,198759,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,137555,114158,Arkansas,5029,Conway County
39,Self-emp-inc,143123,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,United-States,66471,114158,Arkansas,5031,Craighead County
39,Private,237713,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-States,118311,114158,Arkansas,5033,Crawford County
59,Private,81929,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,188418,114158,Arkansas,5035,Crittenden County
50,Self-emp-inc,167793,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,69352,114158,Arkansas,5037,Cross County
46,Private,456062,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,61474,114158,Arkansas,5039,Dallas County
53,Self-emp-not-inc,105478,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,United-States,31097,114158,Arkansas,5041,Desha County
50,Self-emp-not-inc,42402,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,30,United-States,172154,114158,Arkansas,5043,Drew County
41,Self-emp-inc,114580,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,United-States,149443,114158,Arkansas,5045,Faulkner County
36,Private,346478,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,United-States,67745,114158,Arkansas,5047,Franklin County
38,Private,187870,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,90,United-States,118655,114158,Arkansas,5049,Fulton County
54,Private,35576,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,77061,114158,Arkansas,5051,Garland County
50,Private,102346,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,114028,114158,Arkansas,5053,Grant County
47,Private,148995,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,150505,114158,Arkansas,5055,Greene County
47,Self-emp-inc,102308,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,107684,114158,Arkansas,5057,Hempstead County
67,Private,105252,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,171451,114158,Arkansas,5059,Hot Spring County
67,Self-emp-inc,106175,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,United-States,186153,114158,Arkansas,5061,Howard County
72,Self-emp-not-inc,52138,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,United-States,82059,114158,Arkansas,5063,Independence County
72,?,118902,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,0,2392,6,United-States,136327,114158,Arkansas,5065,Izard County
46,Self-emp-inc,191978,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,50,United-States,92093,114158,Arkansas,5067,Jackson County
78,Self-emp-inc,188044,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,172838,114158,Arkansas,5069,Jefferson County
71,Self-emp-inc,66624,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States,146453,114158,Arkansas,5071,Johnson County
83,Self-emp-inc,153183,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,55,United-States,170566,114158,Arkansas,5073,Lafayette County
68,Private,211287,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,158374,114158,Arkansas,5075,Lawrence County
26,Private,181655,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,73205,114158,Arkansas,5077,Lee County
68,State-gov,235882,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,168652,114158,Arkansas,5079,Lincoln County
49,Self-emp-inc,158685,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,154901,114158,Arkansas,5081,Little River County
36,Private,370767,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,119142,114158,Arkansas,5083,Logan County
70,Self-emp-not-inc,155141,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States,99793,114158,Arkansas,5085,Lonoke County
27,Private,156516,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,United-States,184151,114158,Arkansas,5087,Madison County
35,Local-gov,177305,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,40,United-States,25118,114158,Arkansas,5089,Marion County
23,Private,162945,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2377,40,United-States,81614,114158,Arkansas,5091,Miller County
81,Private,177408,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,26,United-States,152566,114158,Arkansas,5093,Mississippi County
66,Self-emp-not-inc,427422,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,0,2377,25,United-States,114498,114158,Arkansas,5095,Monroe County
71,Private,152307,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,45,United-States,111915,114158,Arkansas,5097,Montgomery County
68,Private,218637,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,United-States,191912,114158,Arkansas,5099,Nevada County
68,State-gov,202699,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,42,?,145313,114158,Arkansas,5101,Newton County
65,?,240857,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2377,40,United-States,131552,114158,Arkansas,5103,Ouachita County
52,Private,222405,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,40,United-States,163563,114158,Arkansas,5105,Perry County
40,Self-emp-inc,110862,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,50,United-States,162273,114158,Arkansas,5107,Phillips County
68,?,257269,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2377,35,United-States,181764,114158,Arkansas,5109,Pike County
21,Private,377931,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,48,United-States,44502,114158,Arkansas,5111,Poinsett County
35,Private,192923,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,44683,114158,Arkansas,5113,Polk County
70,Self-emp-inc,207938,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States,47758,114158,Arkansas,5115,Pope County
61,Self-emp-not-inc,36671,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,71683,114158,Arkansas,5117,Prairie County
65,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States,88283,114158,Arkansas,5119,Pulaski County
46,Private,214955,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,45,United-States,184555,114158,Arkansas,5121,Randolph County
26,Local-gov,166295,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States,71354,114158,Arkansas,5123,St. Francis County
59,Local-gov,147707,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States,149775,114158,Arkansas,5125,Saline County
61,Private,43554,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2339,40,United-States,147164,114158,Arkansas,5127,Scott County
60,State-gov,358893,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States,145144,114158,Arkansas,5129,Searcy County
49,Self-emp-inc,141058,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States,159274,114158,Arkansas,5131,Sebastian County
34,Private,25322,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,40,?,185666,114158,Arkansas,5133,Sevier County
25,Private,77071,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,163703,114158,Arkansas,5135,Sharp County
55,Private,158702,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,2339,45,?,56368,114158,Arkansas,5137,Stone County
59,Local-gov,171328,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States,150299,114158,Arkansas,5139,Union County
28,State-gov,381789,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,44160,114158,Arkansas,5141,Van Buren County
43,?,152569,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,0,2339,36,United-States,85524,114158,Arkansas,5143,Washington County
56,Self-emp-not-inc,346635,Masters,14,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States,110314,114158,Arkansas,5145,White County
41,Private,162140,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States,153037,114158,Arkansas,5147,Woodruff County
42,Private,191765,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago,48103,114158,Arkansas,5149,Yell County
28,Private,251905,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada,79461,114158,California,6001,Alameda County
40,Self-emp-not-inc,33310,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,177726,114158,California,6003,Alpine County
69,Private,228921,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,165976,114158,California,6005,Amador County
66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,134287,114158,California,6007,Butte County
69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,88824,114158,California,6009,Calaveras County
55,Local-gov,176046,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,United-States,74970,114158,California,6011,Colusa County
57,Federal-gov,370890,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,96704,114158,California,6013,Contra Costa County
20,Self-emp-not-inc,157145,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,2258,10,United-States,56070,114158,California,6015,Del Norte County
33,Private,288825,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,34442,114158,California,6017,El Dorado County
30,Self-emp-not-inc,257295,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40,South,194470,114158,California,6019,Fresno County
40,Private,287983,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,59057,114158,California,6021,Glenn County
38,Private,101978,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,United-States,107722,114158,California,6023,Humboldt County
46,State-gov,192779,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,38799,114158,California,6025,Imperial County
29,Private,135296,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,29365,114158,California,6027,Inyo County
57,Federal-gov,199114,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,151911,114158,California,6029,Kern County
39,Private,156897,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,United-States,100077,114158,California,6031,Kings County
47,Private,138107,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,75503,114158,California,6033,Lake County
26,Private,279833,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,31331,114158,California,6035,Lassen County
27,Self-emp-not-inc,208577,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States,72748,114158,California,6037,Los Angeles County
23,Private,102942,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,29702,114158,California,6039,Madera County
34,Private,36385,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,United-States,31974,114158,California,6041,Marin County
33,Private,176185,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States,166541,114158,California,6043,Mariposa County
38,Local-gov,162613,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,113285,114158,California,6045,Mendocino County
57,Private,121362,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,34664,114158,California,6047,Merced County
36,Private,145933,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,70,United-States,183261,114158,California,6049,Modoc County
44,Federal-gov,29591,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,149669,114158,California,6051,Mono County
49,State-gov,269417,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,120709,114158,California,6053,Monterey County
44,Self-emp-inc,178510,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,2258,60,United-States,117344,114158,California,6055,Napa County
55,Private,41108,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,182544,114158,California,6057,Nevada County
45,Private,187901,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,44,United-States,168346,114158,California,6059,Orange County
